soc_code,weighted_beta
51-9197,0.025185134659075167
51-9198,0.09953716614315856
53-1041,0.3034510362592571
53-1042,0.22307852660633629
53-1043,0.2864492389106679
53-2011,0.2723901875799605
53-2012,0.19492409028526683
53-2021,0.2947380580528922
53-2022,0.28577817840787795
53-2031,0.08714534828514436
53-3011,0.03987255234388587
53-3031,0.23879628569575473
53-3032,0.21933773925769834
53-3033,0.24061787854861008
53-3051,0.11911056587974554
53-3052,0.11036054839065078
53-3053,0.14323589579622328
53-4011,0.2047928428450733
53-4013,0.115456371201581
53-4022,0.16044182682234243
53-4031,0.2677586629079621
53-4041,0.15643898955131438
53-5011,0.0
53-5021,0.14395480407237787
53-5022,0.0
53-5031,0.08409693243114916
53-6011,0.10718804087805629
53-6021,0.06722818062074078
53-6031,0.05406539796810872
53-6041,0.4153551926312926
53-6051,0.28539965203839146
53-6061,0.23396661046111944
53-7011,0.10712823375775218
53-7021,0.148958235719576
53-7031,0.0
53-7041,0.0
53-7051,0.047768305280436824
53-7061,0.05277935466498955
53-7062,0.045020081142938026
53-7063,0.053374263934657384
53-7064,0.04060713386279712
53-7065,0.09387497367321476
53-7071,0.1479830333892047
53-7072,0.21799309196280445
53-7073,0.0
53-7081,0.05698138058859403
53-7121,0.03858839480420799
